logged_at,vendor,category,urgency_level,deadline_date,title,product_impacted,type,status_or_date,impact_summary,backbase_action_required,backbase_rationale
2026-08-18 00:56:13,Jumio,Architecture Deprecation,NORMAL,N/A,Jumio Android SDK v4.14.0,Jumio Android SDK,Compliance,None Specified,Updating accessibility to meet WCAG 2.2 AA and EAA ensures compliance with web accessibility standards.,Assessment Needed,Backbase must verify that its implementation meets the new compliance requirements to avoid regulatory issues.
2026-08-18 00:56:13,Jumio,Architecture Deprecation,NORMAL,N/A,Jumio Android SDK v4.18.0,Jumio Android SDK,Breaking Change,None Specified,Increasing minSdkVersion to 24 will break compatibility with devices running older Android versions.,Code Migration Required,Backbase must update its Android apps to support minSdkVersion 24 to continue using the Jumio SDK.
2026-08-18 00:56:09,Twilio,Architecture Deprecation,NORMAL,N/A,Update to SendGrid Domain Authentication: Send to Coworker Action Removed,SendGrid Domain Authentication,Deprecation,None Specified,The removal of the Send to Coworker action from Domain Authentication may affect integrations relying on that action.,Assessment Needed,Ensure all authentication flows are compatible with the updated process.
2026-08-20 00:35:51,Entrust,Security Update,NORMAL,N/A,faq change of ssl server certificates,Payment API,Security Update,None Specified,"Server SSL certificates have changed, requiring validation of new chains.",Assessment Needed,Certificate changes may affect secure connections.
2026-08-20 00:35:51,Entrust,Architecture Deprecation,NORMAL,N/A,important faq sdk upgrade expiry date updated to 26 july,iOS SDK,Deprecation,26 July,SDK upgrade deadline necessitates migrating to a newer SDK version to maintain support.,Code Migration Required,The SDK sunset requires code changes to adopt the new version.
2026-08-20 00:35:51,Entrust,Security Update,NORMAL,N/A,ios sdk configuration instructions for certificate compatibility,Secure Card Display,Security Update,None Specified,iOS SDK configuration updates required to maintain certificate compatibility.,Code Migration Required,Adjustments to iOS SDK settings are necessary for secure card display.
2026-08-20 00:35:51,Entrust,Security Update,NORMAL,N/A,sectigo tls certificates qualification eu production,Payment API,Security Update,None Specified,Qualification of new Sectigo TLS certificates for EU production environments.,Assessment Needed,Need to ensure trust stores contain updated certificates.
2026-08-20 00:35:51,Entrust,Security Update,NORMAL,N/A,sectigo tls certificates us production and qualification environments,Payment API,Security Update,None Specified,New Sectigo TLS certificates deployed for US production and qualification environments.,Assessment Needed,Must confirm certificate validity and trust.
2026-08-20 00:35:51,Entrust,Security Update,NORMAL,N/A,tls certificate migration 2025 summary impact and ios sdk notes,Secure Card Display,Security Update,None Specified,Upcoming TLS certificate migration in 2025 will impact iOS SDK and secure card display implementation.,Code Migration Required,Implement updates to accommodate new TLS certificates and SDK changes.
2026-08-20 00:35:51,Entrust,Security Update,NORMAL,N/A,tls leaf certificate renewal eu prod 22 06 08 cest,Payment API,Security Update,None Specified,Updated TLS certificates ensure continued secure communication for payment transactions.,Assessment Needed,Existing certificates must be verified or updated to match new certificates.
2026-08-18 18:23:02,Twilio,SRE Incident,,,1Console Login Unavailable,Twilio Console,Outage,Resolved,"Twilio Console login is temporarily unavailable, requiring users to clear cache or retry.",Monitor,Login issues do not affect Backbase services directly but require monitoring for potential downstream impact.
2026-08-18 15:21:46,Twilio,SRE Incident,,,SMS Delivery Delays and Failures from Twilio Phone Numbers to Claro Brazil,SMS,Delays,Resolved,SMS delivery to Claro Brazil subscribers is experiencing delays and failures.,Monitor,Monitoring is necessary to ensure service stability for users relying on SMS communications.
2026-08-18 22:12:40,Twilio,SRE Incident,,,SMS Delivery Delays and Failures from Twilio to Claro Brazil,SMS Delivery,Delays,Resolved,"SMS delivery from Twilio to Claro Brazil experiencing delays and failures, currently recovering.",Monitor,Twilio SMS service is critical for Backbase notifications.
2026-08-18 02:09:52,Twilio,SRE Incident,,,SMS Delivery Delays from Twilio to Free Caraibe France,SMS,Delays,Resolved,SMS deliveries to Free Caraibe network subscribers in France are delayed but improving.,Monitor,Monitoring ongoing SMS delivery performance to ensure Backbase processes are not impacted.
2026-08-18 00:56:09,Twilio,SRE Incident,,,SMS Delivery Delays from Twilio to Free Caraibe Martinique,SMS,Delays,Resolved,"Twilio customers may be experiencing SMS delivery delays from Twilio to Free Caraibe network subscribers in Martinique. Our team has identified the cause, and is working to resolve the issue. We will provide another update in 1 hour or as soon as more information becomes available.",Monitor,The delays could impact timely message delivery for Backbase clients.
2026-08-19 20:16:21,Twilio,SRE Incident,,,SMS Delivery Delays from Twilio to T-Mobile Germany,Twilio SMS,Delays,Resolved,"SMS delivery is experiencing delays for T-Mobile network subscribers in Germany, causing slower message delivery.",Monitor,The issue is being monitored and no immediate action is required.
2026-08-19 13:36:53,Twilio,SRE Incident,,,SMS Delivery Delays from Twilio to Telecall Brazil,SMS Delivery,Delays,Resolved,SMS delivery from Twilio to Telecall Brazil is delayed and service stability is being monitored.,Monitor,Monitoring the incident to ensure service levels are maintained for Backbase users.
